リアルタイムKPI追跡ダッシュボード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,修正目標値,達成率,ステータス,備考,,,,,,,,,,,,,,,,,,,,,,,
,,,#DIV/0!,,0,0.00%,,,12/22,,,,,,,,,,,,,,,,,,,,,
合計,0,0,#DIV/0!,0,0,0.00%,"328,900",,,,,,,,,,,,,,,,,,,,,,,
,セミナー被り,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談実績値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,ステータス,,,備考,,,,,,,,,,,,,,,,,,,,,,,
わどチーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
クニトミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談実績値 追加セミナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,ステータス,,,備考,,,,,,,,,,,,,,,,,,,,,,,
わどチーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
クニトミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談実績値 合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,ステータス,,,備考,,,,,,,,,,,,,,,,,,,,,,,
わどチーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
ユニコ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
